FCA- URBANIZAÇÃO ENTORNO RESTAURANTE CAMPUS 2;01-04011-09
FOP- CENTRO CLÍNICO;01-04067-08
PREFEITURA- RESTAURANTE SATURNINO;01-04070-08
PREFEITURA- RESTAURANTE SATURNINO;01-04070-08
PREFEITURA- RESTAURANTE SATURNINO;01-04070-08
PREFEITURA- RESTAURANTE SATURNINO;01-04070-08
HEMOCENTRO - AMPLIAÇÃO PARA ADMINISTRAÇÃO E LAB CIENTÍFICO;01-04124-11
HEMOCENTRO - AMPLIAÇÃO PARA ADMINISTRAÇÃO E LAB CIENTÍFICO;01-04124-11
CPFLimeira- REMODELAÇÃO ALIMENTAÇÃO ELÉTRICA PLANTA FÍSICA DE LIMEIRA;01-04192-11
CPQBA- AMPLIAÇÃO DO SISTEMA VIÁRIO INTERNO;01-04236-11
CPQBA- AMPLIAÇÃO DO SISTEMA VIÁRIO INTERNO;01-04236-11
CPQBA- AMPLIAÇÃO DO SISTEMA VIÁRIO INTERNO;01-04236-11
CPQBA- AMPLIAÇÃO DO SISTEMA VIÁRIO INTERNO;01-04236-11
CPQBA- AMPLIAÇÃO DO SISTEMA VIÁRIO INTERNO;01-04236-11
FOP- SALAS DE AULA- AMPL PREDIO ADMINISTR;01-04303-07
FEF- NOVO GINÁSIO;01-04326-10
FEF- NOVO GINÁSIO;01-04326-10
FEF- NOVO GINÁSIO;01-04326-10
FEF- NOVO GINÁSIO;01-04326-10
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-04346-11
CEB - REFORMA E AMPLIAÇÃO (FINEP- CT-Infra);01-04427-07
CEB - REFORMA E AMPLIAÇÃO (FINEP- CT-Infra);01-04427-07
HEMOCENTRO- REFORMA HALL ENTRADA E SANITÁRIOS;01-04428-07
IFCH- AMPLIAÇÃO BIBLIOTECA (FINEP- CT-INFRA);01-04430-07
IFCH- AMPLIAÇÃO BIBLIOTECA (FINEP- CT-INFRA);01-04430-07
IFCH- AMPLIAÇÃO BIBLIOTECA (FINEP- CT-INFRA);01-04430-07
IFCH- AMPLIAÇÃO BIBLIOTECA (FINEP- CT-INFRA);01-04430-07
IFCH- AMPLIAÇÃO BIBLIOTECA (FINEP- CT-INFRA);01-04430-07
IFCH- AMPLIAÇÃO BIBLIOTECA (FINEP- CT-INFRA);01-04430-07
REITORIA- REQUALIFICAÇÃO PRAÇA DAS BANDEIRAS E ENTORNO;01-04451-11
REITORIA- REQUALIFICAÇÃO PRAÇA DAS BANDEIRAS E ENTORNO;01-04451-11
REITORIA- REQUALIFICAÇÃO PRAÇA DAS BANDEIRAS E ENTORNO;01-04451-11
REITORIA- REQUALIFICAÇÃO PRAÇA DAS BANDEIRAS E ENTORNO;01-04451-11
REITORIA- REQUALIFICAÇÃO PRAÇA DAS BANDEIRAS E ENTORNO;01-04451-11
FT- PRÉDIO ADMINISTR DA PÓS GRADUAÇÃO;01-04495-08
CEMEQ- BARRACÃO DE MANUTENÇÃO;01-04581-06
CEMEQ- BARRACÃO DE MANUTENÇÃO;01-04581-06
CEMEQ- BARRACÃO DE MANUTENÇÃO;01-04581-06
CEMEQ- BARRACÃO DE MANUTENÇÃO;01-04581-06
CEMEQ- BARRACÃO DE MANUTENÇÃO;01-04581-06
CEMEQ- BARRACÃO DE MANUTENÇÃO;01-04581-06
CEMEQ- BARRACÃO DE MANUTENÇÃO;01-04581-06
CEMEQ- BARRACÃO DE MANUTENÇÃO;01-04581-06
CEMEQ- BARRACÃO DE MANUTENÇÃO;01-04581-06
CEMEQ- BARRACÃO DE MANUTENÇÃO;01-04581-06
CEMEQ- BARRACÃO DE MANUTENÇÃO;01-04581-06
CEMEQ- BARRACÃO DE MANUTENÇÃO;01-04581-06
CEMEQ- BARRACÃO DE MANUTENÇÃO;01-04581-06
CEMEQ- BARRACÃO DE MANUTENÇÃO;01-04581-06
CPQBA- LAB FARMACOLOGIA E TOXICOLOGIA;01-04585-06
CPQBA- LAB FARMACOLOGIA E TOXICOLOGIA;01-04585-06
CPQBA- LAB FARMACOLOGIA E TOXICOLOGIA;01-04585-06
CPQBA- LAB FARMACOLOGIA E TOXICOLOGIA;01-04585-06
CPQBA- LAB FARMACOLOGIA E TOXICOLOGIA;01-04585-06
CPQBA- LAB FARMACOLOGIA E TOXICOLOGIA;01-04585-06
CPQBA- LAB FARMACOLOGIA E TOXICOLOGIA;01-04585-06
CPQBA- LAB FARMACOLOGIA E TOXICOLOGIA;01-04585-06 OFÍCIO CPQBA 01/2010
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-04659-08
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-04659-08
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-04659-08
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-04659-08
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-04659-08
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;"01-04659-08
10-10278-02"
IFCH- AMPLIAÇÃO BIBLIOTECA (FINEP- CT-INFRA);01-04661-10
IFCH- AMPLIAÇÃO BIBLIOTECA (FINEP- CT-INFRA);01-04661-10
IFCH- AMPLIAÇÃO BIBLIOTECA (FINEP- CT-INFRA);01-04661-10
IFCH- AMPLIAÇÃO BIBLIOTECA (FINEP- CT-INFRA);01-04661-10
IFCH- AMPLIAÇÃO BIBLIOTECA (FINEP- CT-INFRA);01-04661-10
IFCH- AMPLIAÇÃO BIBLIOTECA (FINEP- CT-INFRA);01-04661-10
IC- PPCI PARA OS PRÉDIOS DO IC;"01-04748-11
OF.DIRETORIA/IC/07/2011"
FEQ- AMPLIAÇÃO ESTACIONAMENTO;01-04799-08
FOP- LABORATÓRIO DE PRÉ-CLÍNICA;01-04824-11
FOP- LABORATÓRIO DE PRÉ-CLÍNICA;01-04824-11
FOP- LABORATÓRIO DE PRÉ-CLÍNICA;"01-04824-11
OF.FOP 052/11"
FCM- ESCOLA DE SAÚDE DA FAMÍLIA;01-04852-09
FCM- ESCOLA DE SAÚDE DA FAMÍLIA;01-04852-09
FCM- ESCOLA DE SAÚDE DA FAMÍLIA;01-04852-09
FCM- ESCOLA DE SAÚDE DA FAMÍLIA;01-04852-09
FCM- ESCOLA DE SAÚDE DA FAMÍLIA;01-04852-09
FEA- 2a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-04998-10
FEA- 2a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-04998-10
FEA- 2a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-04998-10
FEA- 2a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-04998-10
FEA- 2a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-04998-10
FEA- 2a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-04998-10
FEA- 2a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-04998-10
FEQ - LABORATÓRIO LPETROPES;01-05039-08
FEQ - LABORATÓRIO LPETROPES;01-05039-08
FEQ - LABORATÓRIO LPETROPES;01-05039-08
FEQ - LABORATÓRIO LPETROPES;01-05039-08
CPFLimeira- REMODELAÇÃO ALIMENTAÇÃO ELÉTRICA PLANTA FÍSICA DE LIMEIRA;01-05040-08
CPFLimeira- REMODELAÇÃO ALIMENTAÇÃO ELÉTRICA PLANTA FÍSICA DE LIMEIRA;01-05040-08
CPFLimeira- REMODELAÇÃO ALIMENTAÇÃO ELÉTRICA PLANTA FÍSICA DE LIMEIRA;01-05040-08
CPFLimeira- REMODELAÇÃO ALIMENTAÇÃO ELÉTRICA PLANTA FÍSICA DE LIMEIRA;01-05040-08
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-05057-11
FEC- LABORATÓRIO VEÍCULO VIA (FINEP);01-05156-10
IC- REFORMA COBERTURA PRÉDIOS IC-1 E IC-2;01-05188-11
FEF- NOVA PISCINA;01-05192-08
FEF- NOVA PISCINA;01-05192-08
IC- AMPLIAÇÃO PRÉDIOS IC-1 E IC-2;01-05195-08
EDITORA- NOVO DEPÓSITO;01-05197-08
EDITORA- NOVO DEPÓSITO;01-05197-08
EDITORA- NOVO DEPÓSITO;01-05197-08
EDITORA- NOVO DEPÓSITO;01-05197-08
EDITORA- NOVO DEPÓSITO;01-05197-08
EDITORA- NOVO DEPÓSITO;01-05197-08
EDITORA- NOVO DEPÓSITO;01-05197-08
EDITORA- NOVA LIVRARIA;01-05224-10
EDITORA- NOVA LIVRARIA;01-05224-10
EDITORA- NOVA LIVRARIA;01-05224-10
EDITORA- NOVA LIVRARIA;01-05224-10
EDITORA- NOVA LIVRARIA;01-05224-10
EDITORA- NOVA LIVRARIA;01-05224-11
PRG- REVITALIZAÇÃO PRAÇAS CICLO BÁSICO, RU E ADJACÊNCIAS;01-05313-11
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-05339-11
HEMOCENTRO- HOSPITAL HEMATOLÓGICO;01-05341-06
FCA- PLANTIO DE GRAMA;01-05468-10
FCA- PLANTIO DE GRAMA;01-05468-10
FCA- PLANTIO DE GRAMA;01-05468-10
FCA- PLANTIO DE GRAMA;01-05468-10
FCA- PRÉDIO ADMINISTR CAMPUS 2;01-05560-08
IA- REFORMA PAV ARTES;01-05562-08
IA- REFORMA PAV ARTES;01-05564-08
IA- REFORMA PAV ARTES;01-05564-08
IA- REFORMA PAV ARTES;01-05564-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05566-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05566-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05566-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05566-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05566-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05566-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05566-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05566-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05566-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05566-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05566-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05566-08
IA- REFORMA PAV ARTES;01-05567-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05569-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05569-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05569-08
FE- REFORMAS- ALTERAÇÕES DE LAYOUT;01-05569-08
IB- LAB CENTRO DE ESTUDO DA DOR;01-05637-10
IB- LAB CENTRO DE ESTUDO DA DOR;01-05637-10
IB- LAB CENTRO DE ESTUDO DA DOR;01-05637-10
IB- LAB CENTRO DE ESTUDO DA DOR;01-05637-10
IB- LAB CENTRO DE ESTUDO DA DOR;01-05637-10
IB- LAB CENTRO DE ESTUDO DA DOR;01-05637-10
FEA- LAB DE BIOTECNOLOGIA (CT-INFRA 01/06);01-05729-10
FEA- LAB DE BIOTECNOLOGIA (CT-INFRA 01/06);01-05729-10
REITORIA- SPDA PARA O MUSEU DE CIÊNCIAS;01-05749-08
FEAGRI- ESCADA ACESSO LAB. TERMODINÂMICA;01-05777-11
FEAGRI- ESCADA ACESSO LAB. TERMODINÂMICA;01-05777-11
FEAGRI- ESCADA ACESSO LAB. TERMODINÂMICA;"01-05777-11
OF.FEAGRI 439/11 E 450/11
"
IE - READEQUAÇÃO INST. ELÉTRICAS PAVILHÕES;01-05807-08
IE - READEQUAÇÃO INST. ELÉTRICAS PAVILHÕES;01-05807-08
IE - READEQUAÇÃO INST. ELÉTRICAS PAVILHÕES;01-05807-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IA- 1A ETAPA DO TEATRO - TEATRO;01-05808-08
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-05810-08
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-05810-08
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-05810-08
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-05810-08
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-05810-08
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-05810-08
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-05810-08
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-05810-08
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-05810-08
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-05810-08
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-05810-08
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-05810-08
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-05810-08
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-05810-08
COTUCA- REFORÇO ESTRUTURAL PRÉDIO PRINCIPAL;01-06010-08
COTUCA- REFORMA LABORATÓRIO ALIMENTOS;01-06015-08
COTUCA- REFORMA INST ELÉTRICAS PRÉDIOS DO COTUCA;01-06017-08
COTUCA- REFORMA INST ELÉTRICAS PRÉDIOS DO COTUCA;01-06017-08
COTUCA- REFORMA INST ELÉTRICAS PRÉDIOS DO COTUCA;01-06017-08
COTUCA- REFORMA INST ELÉTRICAS PRÉDIOS DO COTUCA;01-06017-08
COTUCA- REFORMA INST ELÉTRICAS PRÉDIOS DO COTUCA;01-06017-08
COTUCA- CONSTRUÇÃO DE NOVA GUARITA;01-06017-11
COTUCA- CONSTRUÇÃO DE NOVA GUARITA;01-06017-11
COTUCA- CONSTRUÇÃO DE NOVA GUARITA;01-06017-11
COTUCA- CONSTRUÇÃO DE NOVA GUARITA;01-06017-11
COTUCA- CONSTRUÇÃO DE NOVA GUARITA;01-06017-11
COTUCA- CONSTRUÇÃO DE NOVA GUARITA;01-06017-11
COTUCA- REFORMAS NA ÁREA DAS QUADRAS;01-06023-08
COTUCA- REFORMAS NA ÁREA DAS QUADRAS;01-06023-08
COTUCA- REFORMAS NA ÁREA DAS QUADRAS;01-06023-08
COTUCA- REFORMAS NA ÁREA DAS QUADRAS;01-06023-08
COTUCA- REFORMAS NA ÁREA DAS QUADRAS;01-06023-08
COTUCA- REFORMAS NA ÁREA DAS QUADRAS;"01-06023-08
REUNIÃO NO COTUCA"
FEF- REFORMA PISTA DE ATLETISMO;"01-06079-11
OF/DIR/FEF Nº 16/2011"
FCA- RESTAURANTE CAMPUS 2;01-06099-08
FCA- RESTAURANTE CAMPUS 2;01-06099-08
DGA- ESTACIONAMENTO DE CARROS OFICIAIS;01-06170-11
DGA- ESTACIONAMENTO DE CARROS OFICIAIS;01-06170-11
CEMIB- REFORMA E AMPLIAÇÃO (FINEP);01-06198-07
CEMIB- REFORMA E AMPLIAÇÃO (FINEP);01-06198-07
CEMIB- REFORMA E AMPLIAÇÃO (FINEP);01-06198-07
CEMIB- REFORMA E AMPLIAÇÃO (FINEP);01-06198-07
CEMIB- REFORMA E AMPLIAÇÃO (FINEP);01-06198-07
INOVA- LAB INOVAÇÃO BIOCOMBUSTÍVEIS FLIB (FINEP- CT-INFRA);01-06225-08
INOVA- LAB INOVAÇÃO BIOCOMBUSTÍVEIS FLIB (FINEP- CT-INFRA);01-06225-08
INOVA- LAB INOVAÇÃO BIOCOMBUSTÍVEIS FLIB (FINEP- CT-INFRA);01-06225-08
INOVA- LAB INOVAÇÃO BIOCOMBUSTÍVEIS FLIB (FINEP- CT-INFRA);01-06225-08
INOVA- LAB INOVAÇÃO BIOCOMBUSTÍVEIS FLIB (FINEP- CT-INFRA);01-06225-08
INOVA- LAB INOVAÇÃO BIOCOMBUSTÍVEIS FLIB (FINEP- CT-INFRA);01-06225-08
IFGW- PRÉDIO FIBER-TO-HTE-LAB-KYATERA (FINEP- CT-INFRA);01-06227-08
IFGW- PRÉDIO FIBER-TO-HTE-LAB-KYATERA (FINEP- CT-INFRA);01-06227-08
IFGW- PRÉDIO FIBER-TO-HTE-LAB-KYATERA (FINEP- CT-INFRA);01-06227-08
IFGW- PRÉDIO FIBER-TO-HTE-LAB-KYATERA (FINEP- CT-INFRA);01-06227-08
IFGW- PRÉDIO FIBER-TO-HTE-LAB-KYATERA (FINEP- CT-INFRA);01-06227-08
IFGW- PRÉDIO FIBER-TO-HTE-LAB-KYATERA (FINEP- CT-INFRA);01-06227-08
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-06231-08
IEL- CENTRO CULTURAL (REFORMA ANTIGO CARPEN DIEN);01-06233-08
IEL- CENTRO CULTURAL (REFORMA ANTIGO CARPEN DIEN);01-06233-08
IEL- CENTRO CULTURAL (REFORMA ANTIGO CARPEN DIEN);01-06233-08
IEL- CENTRO CULTURAL (REFORMA ANTIGO CARPEN DIEN);01-06233-08
IEL- CENTRO CULTURAL (REFORMA ANTIGO CARPEN DIEN);01-06233-08
IEL- CENTRO CULTURAL (REFORMA ANTIGO CARPEN DIEN);01-06233-08
FEA- 1a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-06234-08
FEA- 1a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-06234-08
FEA- 1a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-06234-08
FEA- 1a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-06234-08
FEA- 1a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-06234-08
FEA- 1a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-06234-08
FEA- 1a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-06234-08
FEA- 1a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-06234-08
FEA- 1a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-06234-08
FEA- 1a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-06234-08
CEL- NOVO PRÉDIO;01-06236-08
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-06238-08
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-06238-08
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-06238-08
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-06238-08
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-06238-08
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-06238-08
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-06238-08
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-06238-08
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-06238-08
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-06238-08
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-06238-08
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-06238-08
DGRH- CONSTRUÇÃO NOVA SEDE CECI-MATERNAL;01-06240-08
DGRH- CONSTRUÇÃO NOVA SEDE CECI-MATERNAL;01-06240-08
DGRH- CONSTRUÇÃO NOVA SEDE CECI-MATERNAL;01-06240-08
DGRH- CONSTRUÇÃO NOVA SEDE CECI-MATERNAL;01-06240-08
DGRH- CONSTRUÇÃO NOVA SEDE CECI-MATERNAL;01-06240-08
DGRH- CONSTRUÇÃO NOVA SEDE CECI-MATERNAL;01-06240-08
DGRH- CONSTRUÇÃO NOVA SEDE CECI-MATERNAL;01-06240-08
DGRH- CONSTRUÇÃO NOVA SEDE CECI-MATERNAL;01-06240-08
DGRH- CONSTRUÇÃO NOVA SEDE CECI-MATERNAL;01-06240-08
FEC- LABORATÓRIO LALT/ FLUXOS DA FEC;01-06269-11
FEC- LABORATÓRIO LALT/ FLUXOS DA FEC;01-06269-11
IFGW- PRÉDIO FIBER-TO-HTE-LAB-KYATERA (FINEP- CT-INFRA);01-06352-11
IFGW- PRÉDIO FIBER-TO-HTE-LAB-KYATERA (FINEP- CT-INFRA);01-06352-11
IFGW- PRÉDIO FIBER-TO-HTE-LAB-KYATERA (FINEP- CT-INFRA);01-06352-11
IFGW- PRÉDIO FIBER-TO-HTE-LAB-KYATERA (FINEP- CT-INFRA);01-06352-11
INOVA- ESTUDO HIDROLÓGICO E REDIMENSIONAMENTO DE REDES;01-06398-11
FEQ - LABORATÓRIO LPETROPES;01-06405-09
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
FCM- LABORATÓRIOS DE PESQUISA - LEXP (FINEP- CT-Infra);01-06446-08
PREFEITURA- INFRAESTRUTURA DUAS ÁREAS DE VIVÊNCIA NO CAMPUS;01-06500-10
PREFEITURA- INFRAESTRUTURA DUAS ÁREAS DE VIVÊNCIA NO CAMPUS;01-06500-10
PREFEITURA- INFRAESTRUTURA DUAS ÁREAS DE VIVÊNCIA NO CAMPUS;01-06500-10
PREFEITURA- INFRAESTRUTURA DUAS ÁREAS DE VIVÊNCIA NO CAMPUS;01-06500-10
PREFEITURA- INFRAESTRUTURA DUAS ÁREAS DE VIVÊNCIA NO CAMPUS;01-06500-10
PREFEITURA- INFRAESTRUTURA DUAS ÁREAS DE VIVÊNCIA NO CAMPUS;01-06500-10
PREFEITURA- INFRAESTRUTURA DUAS ÁREAS DE VIVÊNCIA NO CAMPUS;01-06500-10
PREFEITURA- INFRAESTRUTURA DUAS ÁREAS DE VIVÊNCIA NO CAMPUS;01-06500-10
PREFEITURA- INFRAESTRUTURA DUAS ÁREAS DE VIVÊNCIA NO CAMPUS;01-06500-10
PREFEITURA- INFRAESTRUTURA DUAS ÁREAS DE VIVÊNCIA NO CAMPUS;01-06500-10
PREFEITURA- INFRAESTRUTURA DUAS ÁREAS DE VIVÊNCIA NO CAMPUS;01-06500-10
PREFEITURA- INFRAESTRUTURA DUAS ÁREAS DE VIVÊNCIA NO CAMPUS;01-06500-10
PREFEITURA- INFRAESTRUTURA DUAS ÁREAS DE VIVÊNCIA NO CAMPUS;01-06500-10
PREFEITURA- INFRAESTRUTURA DUAS ÁREAS DE VIVÊNCIA NO CAMPUS;01-06500-10
FEC- LABORATÓRIO LABTUBE;01-06530-10
FEC- LABORATÓRIO LABTUBE;01-06530-10
FEAGRI- INSTALAÇÃO DE 2 QUIOSQUES;01-06534-10
FEAGRI- INSTALAÇÃO DE 2 QUIOSQUES;01-06534-10 OFÍCIO FEAGRI-387/2010-D
EDITORA- NOVO DEPÓSITO;01-06536-10
EDITORA- NOVO DEPÓSITO;01-06536-10
EDITORA- NOVO DEPÓSITO;01-06536-10
EDITORA- NOVO DEPÓSITO;01-06536-10
EDITORA- NOVO DEPÓSITO;01-06536-10
EDITORA- NOVO DEPÓSITO;01-06536-10
EDITORA- NOVO DEPÓSITO;01-06536-10
EDITORA- NOVO DEPÓSITO;01-06536-10
EDITORA- NOVO DEPÓSITO;01-06536-10
EDITORA- NOVO DEPÓSITO;01-06536-10
EDITORA- NOVO DEPÓSITO;01-06536-10
FEQ- BLOCO DE SALAS DE AULAS;01-06592-11
FEQ- BLOCO DE SALAS DE AULAS;01-06592-11
FEQ- BLOCO DE SALAS DE AULAS;"01-06592-11
MEMO FEQ.044/2011"
FEF- NOVO GINÁSIO;01-06602-08
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06638-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06638-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06638-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06638-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06638-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06638-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06638-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06639-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06639-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06639-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06639-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06639-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06639-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06639-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06639-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06639-10
PRG- INSTALAÇÃO ELEVADOR BÁSICO 2;01-06639-10
DGRH- CONSTRUÇÃO NOVA SEDE CECI-MATERNAL;01-06741-10
FCM- INTERLIGAÇÃO ELÉTRICA PRÉDIO PÓS GRADUAÇÃO E HABILIDADES;01-06759-08
NUDECRI- NOVO PRÉDIO;01-06760-11
IEL- REFORMA SANITÁRIOS BLOCO VIII;01-06812-11
